Preco,Data
88.34000000000002,2024-07-04
88.25000000007616,2024-07-05
88.21562873718077,2024-07-06
87.73833130988476,2024-07-07
87.37516978780087,2024-07-08
87.05734269427495,2024-07-09
86.74273987175079,2024-07-10
86.37466664980212,2024-07-11
86.15581754862622,2024-07-12
85.95877374419273,2024-07-13
85.74222824971226,2024-07-14
85.50825065505086,2024-07-15
85.26325865076284,2024-07-16
85.00847128600955,2024-07-17
84.58519149285365,2024-07-18
84.07611268688444,2024-07-19
83.63323092119492,2024-07-20
83.1512247847812,2024-07-21
82.66957728697142,2024-07-22
82.23633303769464,2024-07-23
81.71265679233561,2024-07-24
81.2486722922131,2024-07-25
